district_no,status,HOUSE_TA_1,HOUSE_TA_2,HOUSE_TA_3,HOUSE_TA_4,HOUSE_TA_5,HOUSE_TA_7,HOUSE_TA_8,P_REP_16_x,P_DEM_16_x,P_TOT_16_x,P_HC_16_x,P_BS_16_x,P_DTOT_16_,P_DT_16_x,P_MR_16_x,P_TC_16_x,P_JK_16_x,P_BC_16_x,P_RTOT_16_,G_REP_17_x,G_DEM_17_x,G_TOT_17_x,G_RN_17_x,G_TP_17_x,G_DTOT_17_,G_EG_17_x,G_CS_17_x,G_FW_17_x,G_RTOT_17_,LG_REP_17_,LG_DEM_17_,LG_TOT_17_,LG_JF_17_x,LG_SP_17_x,LG_GR_17_x,LG_DTOT_17,LG_JV_17_x,LG_BR_17_x,LG_GD_17_x,LG_RTOT_17,AG_REP_17_,AG_DEM_17_,AG_TOT_17_
89,Ruled unconstitutional as enacted,Jones,"Jones, Jay",C. (Jay),Jerrauld,,D,African American,3709.972724,19505.15081,23215.12354,6374.486722,2433.082216,8807.568939,859.1686054,1116.569412,345.6733286,363.2256209,162.600811,2847.237778,2624.773593,13908.06911,16532.8427,4873.406167,1781.789636,6655.195802,316.6881469,224.4770884,246.0678424,787.2330776,3113.490175,13531.26274,16644.75292,3743.776657,1726.105903,701.6684918,6171.551053,341.7606065,255.9767849,171.2789617,769.0163531,2989.487137,13617.65972,16607.14686
90,Ruled unconstitutional as enacted,Lindsey,"Lindsey, Joseph C.",C.,Joseph,,D,African American,6228.569027,21737.78553,27916.51248,6760.230797,1820.608174,8582.824539,1310.413632,903.7234019,489.1515875,165.5682433,334.3564621,3198.262387,3609.598747,14677.37119,18295.94227,4209.888117,1569.50787,5780.397142,435.4851996,531.0718128,381.825208,1345.39329,3948.965312,14426.65347,18386.56211,3454.20651,1299.204335,779.3659002,5527.824546,520.0042831,508.0127651,294.2595765,1322.264614,3921.89569,14417.43755,18347.27893
91,Adjacent to a district ruled unconstitutional,Helsel,"Helsel, Gordon C.",C.,Gordon,Jr.,R,None Given,18735.6308,14059.53967,32801.12798,3580.224639,2010.008747,5588.873613,4198.111047,3810.297064,1415.036537,882.8643162,683.1676492,10989.19616,12537.86695,11391.28398,23930.43138,3162.424093,1598.68739,4761.111484,1803.551854,1432.840918,1119.525641,4357.55864,13161.80521,10950.97492,24111.49968,2626.757474,1430.849699,512.0335527,4568.0005,1750.424499,1718.369781,788.9967835,4259.791064,12921.97997,11146.32801,24069.38731
92,Ruled unconstitutional as enacted,Ward,"Ward, Jeion A.",A.,Jeion,,D,African American,6533.641263,22777.59046,29311.23173,8660.823033,2106.687892,10767.51092,1473.439948,1073.101526,489.2114515,238.1793279,316.9962746,3590.928527,4129.38587,17118.11482,21247.50069,5785.521493,1989.562349,7775.083842,540.3687511,544.3510166,373.596242,1458.31601,4390.242058,16937.21839,21327.46045,5220.51222,1415.840633,810.7571565,7447.11001,605.6140411,590.5238473,232.8542503,1428.992139,4459.586277,16832.91111,21292.49739
93,Adjacent to a district ruled unconstitutional,Mullin,"Mullin, Michael P.",P.,Michael,,D,Caucasian,13339.16324,18577.78299,31925.33818,5519.183655,3153.537287,8677.075352,3060.973435,3733.718605,1310.632089,1348.470669,592.2974951,10055.35334,9493.941011,13834.17537,23336.33268,3693.426245,1858.20338,5549.992084,1583.786493,1158.995522,745.3327969,3489.474586,9978.446303,13522.53284,23504.25959,2866.611206,1867.050506,589.7560697,5327.561256,1525.555701,1380.718697,503.5981368,3410.000329,9906.464852,13543.10836,23457.4939
94,Adjacent to a district ruled unconstitutional,Yancey,"Yancey, David E.",E.,David,,R,Caucasian,15563.90441,17477.2884,33082.67848,4273.96336,2231.852209,6505.815569,3256.761851,3063.995406,1141.354244,715.5232351,628.7110016,8806.345738,10216.52139,12704.81049,22920.34733,3512.368071,1704.775816,5221.372074,1448.25604,1125.53321,1136.263454,3708.397854,10816.59688,12259.10988,23067.59997,2551.484779,1757.285338,662.9351173,4975.971746,1404.876124,1409.537698,796.8275491,3611.207365,10704.09648,12346.96737,23048.22785
95,Ruled unconstitutional as enacted,Price,"Price, Marcia S.",S. (Cia),Marcia,,D,African American,8253.032878,24041.36342,32232.56116,7292.764728,1710.243348,9006.008076,1492.918613,1228.30339,620.6730607,211.4411958,339.4029567,3892.739216,4993.370301,15830.07013,20820.92823,4627.368661,1813.022441,6440.800455,692.4461506,595.748219,354.1815213,1645.030741,5276.918674,15628.55304,20905.5785,3906.765432,1505.013372,773.8345544,6185.843599,667.0037691,700.2376449,252.2196798,1619.367305,5232.484018,15649.99499,20875.315
96,Adjacent to a district ruled unconstitutional,Pogge,"Pogge, Brenda L.",L.,Brenda,,R,Caucasian,22774.62741,16529.43506,39327.06247,5402.040584,2973.670518,8369.716465,5401.795106,6185.58401,2378.092617,2312.521256,963.4246228,17233.43702,16847.91448,14264.54521,31114.45969,3848.891437,1952.748624,5801.640061,2996.590711,2156.531114,1289.100345,6443.22217,17658.99088,13623.61093,31283.60181,2893.868888,2030.960451,591.6835495,5515.512889,2488.525866,2866.612333,950.5036004,6305.641799,17593.38841,13640.69015,31238.07856
97,Adjacent to a district ruled unconstitutional,Peace,"Peace, Christopher K.",K.,Christopher,,R,Caucasian,30235.10006,14316.27997,44591.37848,3718.233779,2172.204656,5891.438124,6444.413326,4914.464651,3659.22889,1002.12172,1041.097586,17069.32493,20753.43805,10652.0447,31414.48337,2399.209548,1523.135352,3927.342712,2868.18089,3346.186995,624.0429819,6842.409931,21424.52669,10244.01174,31681.53562,1963.166883,1387.127007,447.0339454,3788.328771,2617.196043,3076.172438,1053.035286,6750.400954,21253.49823,10385.03049,31653.52841
100,Adjacent to a district ruled unconstitutional,Bloxom,"Bloxom, Robert S.",S.,Robert,Jr.,R,Caucasian,15619.19588,16196.4015,31815.91279,4262.756701,2177.220569,6439.661857,3842.632768,2130.126466,1177.198791,541.1156893,673.7013309,8364.144219,10318.76198,11964.58549,22283.34748,4219.352094,980.1551064,5199.507201,1397.620654,1278.689418,588.8475764,3265.157648,11240.22058,11034.32402,22274.5446,2534.596506,1653.886258,606.190293,4794.98847,1180.398492,1332.21131,643.3020366,3155.596426,10970.78465,11269.82279,22240.60744
