district_no,status,HOUSE_TA_1,HOUSE_TA_2,HOUSE_TA_3,HOUSE_TA_4,HOUSE_TA_5,HOUSE_TA_7,HOUSE_TA_8,P_REP_16_x,P_DEM_16_x,P_TOT_16_x,P_HC_16_x,P_BS_16_x,P_DTOT_16_,P_DT_16_x,P_MR_16_x,P_TC_16_x,P_JK_16_x,P_BC_16_x,P_RTOT_16_,G_REP_17_x,G_DEM_17_x,G_TOT_17_x,G_RN_17_x,G_TP_17_x,G_DTOT_17_,G_EG_17_x,G_CS_17_x,G_FW_17_x,G_RTOT_17_,LG_REP_17_,LG_DEM_17_,LG_TOT_17_,LG_JF_17_x,LG_SP_17_x,LG_GR_17_x,LG_DTOT_17,LG_JV_17_x,LG_BR_17_x,LG_GD_17_x,LG_RTOT_17,AG_REP_17_,AG_DEM_17_,AG_TOT_17_
27,Adjacent to a district ruled unconstitutional,Robinson,"Robinson, Roxann L.",L.,Roxann,,R,Caucasian,18754.22651,17005.80053,35768.02375,4818.589683,2979.266664,7795.85964,4122.402789,3970.165636,2512.592105,731.7829713,725.961175,12059.90962,12572.70444,13089.34074,25661.04353,2836.379223,2248.662073,5084.041296,1957.591827,1824.686662,525.9002944,4308.178783,13091.56914,12858.45414,25950.02163,2474.594625,1775.280385,653.1570119,4902.032022,1812.600988,1952.676006,471.9149508,4236.193592,13128.68794,12807.28724,25936.97517
55,Adjacent to a district ruled unconstitutional,Fowler,"Fowler, Hyland F.",F. (Buddy),Hyland,Jr.,R,Caucasian,24835.07279,17021.93687,41825.01121,4854.509177,2285.347922,7140.868062,5224.489423,4227.045314,2991.366299,891.7717509,889.6680496,14219.36339,16706.14236,12363.22815,29073.3912,3010.34303,1827.427878,4837.75179,2464.403647,2491.333624,489.8931006,5448.652612,17294.93654,12077.35699,29368.307,2486.33243,1580.670587,570.784955,4623.79769,2169.516328,2569.262957,637.8794902,5370.672242,17201.965,12157.40216,29356.36747
61,Adjacent to a district ruled unconstitutional,Wright,"Wright, Thomas C.",C.,Thomas,Jr.,R,Caucasian,21888.37459,14537.17973,36425.21,4212.953861,1069.063742,5280.124373,4562.864789,2096.06089,1657.039821,321.7618073,728.9982598,9369.665394,14314.76211,8820.794183,23135.43489,1588.784131,1773.30647,3362.762017,1648.802672,1740.703873,290.8540566,3679.096462,14529.50487,8641.534802,23173.54485,1846.287167,913.1631026,487.3666318,3236.732828,1308.213054,1752.577183,516.7907724,3573.973439,14469.85084,8689.72571,23162.79495
62,Adjacent to a district ruled unconstitutional,Ingram,"Ingram, Riley E.",E.,Riley,,R,Caucasian,17818.99945,15896.88566,33686.87357,5051.765837,1980.813518,7033.760299,4148.449462,2397.050646,1955.736652,400.2087298,555.5595062,9455.846065,11579.07397,11602.41937,23170.29155,2358.979525,1883.795399,4241.119619,1331.594349,1842.99498,369.9547074,3548.131127,11976.23571,11393.85514,23357.89924,2401.960844,1162.260506,570.2878052,4134.766012,1558.554391,1518.248639,441.6215528,3520.425683,11850.56595,11487.17615,23325.0177
63,Ruled unconstitutional as enacted,Aird,"Aird, Lashrecse D.",D.,Lashrecse,,D,African American,10511.07999,22834.35285,33348.32698,7323.910192,1486.745234,8808.941905,2145.946749,1110.861968,743.9908984,196.7782004,299.5136705,4502.485676,6631.520153,13825.87966,20462.50323,5071.343783,2027.31674,7098.30236,654.8062026,883.0615351,217.0670543,1749.619104,6846.317369,13697.04703,20550.87135,4759.865907,1262.149341,854.5334063,6878.275502,662.0058886,786.1608502,267.3032061,1721.268165,6820.398592,13682.66299,20508.01908
64,Adjacent to a district ruled unconstitutional,Brewer,"Brewer, Emily",M.,Emily,,R,Caucasian,26923.66877,18994.01785,45931.87109,5792.347877,1870.822091,7663.116289,5525.559597,3569.455869,2046.407684,625.9792016,867.1366139,12635.59153,17990.00047,13808.47863,31801.5428,3993.628201,1755.983943,5755.332452,2822.854685,2722.046484,1381.488451,6921.953128,18655.04277,13285.36484,31947.89406,3310.389559,1502.469916,774.8213782,5590.778063,2752.320033,2907.317554,1110.191699,6773.43353,18436.58118,13507.21905,31945.90825
66,Adjacent to a district ruled unconstitutional,Cox,"Cox, M. K.",Kirkland,M.,,R,Caucasian,23236.2166,14212.97384,37446.19044,4199.88773,1988.477857,6188.365587,5693.968447,4234.906198,2547.539616,684.2246716,782.1440736,13942.78301,16241.03983,10504.43707,26746.4769,2258.535702,1634.343546,3892.879249,2554.437156,2352.439348,413.1070379,5317.983542,16683.14722,10246.37646,26928.52368,2054.395002,1223.333454,503.1111793,3778.839636,2219.492409,2299.368998,728.1081559,5244.969563,16532.10962,10382.40583,26914.51545
68,Adjacent to a district ruled unconstitutional,Adams,"Adams, Dawn",M.,Dawn,,D,Caucasian,19384.01354,24659.57591,44055.59275,6311.554161,5002.864277,11314.41514,4039.402096,8135.276408,2357.163532,2430.807665,596.0250032,17558.66976,16433.41774,21188.62484,37595.04423,6341.676574,3908.422104,10248.09868,3362.958261,1604.726666,892.2369822,5854.921909,17386.39313,20465.28808,37835.68286,4525.892786,3984.323991,1092.910898,9601.127675,2855.315989,2073.914376,821.6870294,5768.915748,17642.3075,20214.38301,37839.69051
69,Ruled unconstitutional as enacted,Carr,"Carr, Betsy B.",B.,Betsy,,D,Caucasian,4371.760545,30082.52198,34456.20735,7809.164132,4439.094124,12248.25826,729.2654419,1113.555835,376.1904277,329.7579136,152.6064193,2701.376038,2987.93666,20418.52987,23417.12641,4942.708597,4533.276985,9482.985583,432.093786,320.4649936,152.0126061,906.3458653,3237.201408,20356.93023,23601.1871,4765.380878,3044.872138,1222.623521,9032.99114,430.3603007,335.6190254,132.9512428,893.215233,3306.029676,20265.87404,23576.90371
70,Ruled unconstitutional as enacted,McQuinn,"Mc Quinn, Delores L.",L.,Delores,,D,African American,6221.372901,21480.49416,27697.86706,8572.878874,2193.456039,10765.33491,1570.361142,898.7326606,641.1361839,199.9730197,258.0240874,3567.227094,4048.825786,16022.00654,20075.83233,4228.051829,3304.629669,7530.681499,601.8397326,664.1529514,146.9817861,1410.97447,4189.632067,15967.90023,20160.5323,4349.589237,1905.441739,1074.678866,7329.709841,580.8833965,680.8543725,152.2367012,1409.97447,4243.114917,15938.29431,20184.40923
71,Ruled unconstitutional as enacted,Bourne,"Bourne, Jeffrey M.",M.,Jeffrey,,D,African American,4001.573505,33957.92529,37951.57397,8689.475772,5938.183964,14627.65974,621.3412089,1564.134113,380.5920733,537.2235758,146.2686345,3249.559605,2910.971217,23906.87489,26828.18623,5915.370503,5067.788232,10980.15873,505.7257361,257.386922,116.9642557,886.3024342,3346.720353,23635.4375,26988.10239,5756.688966,3457.540152,1197.084938,10412.19945,444.5008702,293.2328902,131.9839703,864.4330665,3297.831925,23629.59088,26932.4228
72,Adjacent to a district ruled unconstitutional,VanValkenburg,"VanValkenburg, Schuyler",T.,Schuyler,,D,Caucasian,16621.14856,18195.40715,34816.55571,4960.628098,3073.633495,8034.261593,3800.509844,5643.54813,1971.698587,1412.556673,554.4443674,13384.7576,12988.55467,14990.43095,27978.98562,3487.626844,2386.383402,5874.010246,3410.524122,1705.589197,614.4975828,5730.610901,13647.54054,14555.73057,28203.27112,2591.340021,2316.452836,713.6833328,5621.47619,2572.11407,2232.731072,839.1050012,5643.950144,13589.78874,14606.37212,28196.16086
73,Adjacent to a district ruled unconstitutional,Rodman,"Rodman, Debra",H.,Debra,,D,Caucasian,15334.04486,16801.36484,32135.40969,4213.183177,2940.317386,7153.500564,3552.242411,5021.030844,1859.593102,1339.478925,535.2031418,12307.54842,12257.48724,13967.2601,26224.74734,3140.374638,2246.637196,5387.011835,2931.604977,1549.469414,519.8722067,5000.946598,12861.97582,13587.19827,26449.1741,2415.075835,2151.06596,596.9619252,5163.103721,2167.454215,2032.205679,745.2784044,4944.938299,12836.62786,13639.55453,26476.1824
74,Ruled unconstitutional as enacted,Bagby,"Bagby, Lamont",,Lamont,,D,African American,10432.5651,25936.15615,36366.72125,9927.645032,2738.38923,12671.03426,2393.105237,1747.309481,1142.219245,329.7953948,411.73907,6023.168428,6909.065099,18928.07817,25839.14327,4971.225016,3292.328107,8259.553123,971.0233053,1093.021258,345.15313,2408.197694,7266.309074,18731.00339,26001.31247,4991.572202,1997.887999,1093.104038,8080.564239,954.3797078,1042.60531,368.8906272,2363.875645,7185.601452,18788.71667,25975.31812
75,Adjacent to a district ruled unconstitutional,Tyler,"Tyler, Roslyn C.",C.,Roslyn,,D,African American,14871.15756,19226.89403,34080.32884,6321.538778,871.7965122,7196.815135,3033.234939,1477.139105,869.0988252,241.267273,463.2474936,6086.759501,10096.31748,12289.60424,22389.0778,3090.142954,1452.45078,4542.215478,1225.271998,1026.637963,370.7350544,2621.074244,10268.90976,12105.74875,22372.35156,2950.115715,833.0434197,594.4671378,4383.629431,926.054103,1213.687644,413.8294246,2549.775178,10204.96054,12138.63577,22343.0368
76,Adjacent to a district ruled unconstitutional,Jones,"Jones, S. Chris",,S. Chris,,R,Caucasian,17493.94682,14343.14483,31842.08985,5804.026855,2028.682499,7832.774787,4972.10016,3977.284217,1799.002576,874.3354167,914.1458434,12541.60827,12490.75056,12611.96156,25100.71284,3513.786772,1446.401074,4959.188208,1759.809323,1592.239305,1365.790565,4716.839555,13306.63973,11943.79164,25248.4321,2729.20969,1388.875554,633.8812793,4751.966524,1827.140973,1758.65456,1008.245285,4595.040455,13011.3138,12205.33883,25214.65335
77,Ruled unconstitutional as enacted,Hayes,"Hayes, C. E. Cliff",,"C. E. ""Cliff""",Jr.,D,African American,8670.232509,14554.01516,23222.24602,7120.308093,1862.620928,8980.790998,2288.628917,1497.018377,919.8603944,268.2793869,424.7545509,5388.553842,5726.050463,12069.51872,17798.56848,3300.843047,1621.913936,4923.758337,869.4780199,793.5254347,490.5120875,2154.513483,6059.621022,11918.42552,17980.04413,2908.933923,1234.06611,634.5859042,4776.58423,818.7299946,882.7671328,401.2691044,2101.768291,6025.822645,11945.81687,17973.63539
78,Adjacent to a district ruled unconstitutional,Leftwich,"Leftwich, James A.",A. (Jay),James,Jr.,R,Caucasian,21952.07728,14316.42294,36267.50364,4528.405974,2140.058546,6663.563857,5110.854809,4266.358074,2071.70365,876.2456988,941.896637,13271.0587,14538.70041,12112.591,26652.29141,3046.141175,1469.021766,4513.161234,2142.618123,1729.244503,1484.274238,5359.138571,15413.91343,11416.16402,26832.07916,2360.512658,1441.834989,557.8597,4361.209053,1772.330815,2005.828994,1491.201233,5267.359335,15152.51096,11626.72932,26779.2437
79,Adjacent to a district ruled unconstitutional,Heretick,"Heretick, Stephen E.",E.,Stephen,,D,Caucasian,8577.723793,14180.55487,22844.87451,4181.503776,2130.433092,6312.913798,1903.25849,1666.535911,563.9363463,451.9035958,302.2826518,4892.864679,5411.393866,10405.03367,15820.49489,3477.194336,1163.328067,4647.49909,662.0476373,652.2652745,435.5653625,1748.035147,6025.193285,9895.065287,15929.33172,2491.35127,1367.366981,479.4746569,4336.25518,783.0374049,648.1354199,273.0343772,1702.310198,5716.919914,10176.60358,15901.49597
80,Ruled unconstitutional as enacted,James,"James, Matthew",,Matthew,,D,African American,8575.698355,24992.12946,33481.23196,8559.108441,2166.203386,10726.30892,2016.502067,1509.787073,551.7495845,347.0930476,387.9043408,4801.338344,5605.090154,17988.34913,23589.37193,5473.522754,1872.299679,7338.845747,729.8187641,623.1036546,472.167852,1826.933398,6151.436417,17569.91199,23712.27526,4537.733528,1628.481506,840.2818299,7008.43459,716.3852339,739.7897486,309.3905294,1767.462516,5954.172638,17719.92513,23666.12529
81,Adjacent to a district ruled unconstitutional,Knight,"Knight, Barry D.",D.,Barry,,R,Caucasian,19966.60384,13380.33451,33365.93839,3727.418906,2082.211318,5808.629096,4625.5154,3430.584999,1338.24997,866.1272106,694.1006191,10953.57666,12262.69481,10367.12957,22625.82436,2532.262307,1298.117805,3829.380102,1606.21525,1404.167118,1171.163851,4180.546209,13007.79543,9762.050744,22771.84615,1891.183781,1293.127392,482.0501398,3670.361313,1508.197884,1655.186877,956.1501988,4116.53497,12791.7872,9945.050463,22731.83764
83,Adjacent to a district ruled unconstitutional,Stolle,"Stolle, Christopher P.",P.,Christopher,,R,Caucasian,16842.62242,14266.08254,31128.70277,3708.604378,2196.05237,5910.497718,4234.624106,3334.57739,1138.567375,1017.660297,512.3150153,10232.39974,10896.27315,11206.61762,22092.9208,3510.731835,1207.373139,4719.093472,1557.292966,1421.120107,1628.990977,4609.390642,12048.08788,10198.03507,22237.16197,2185.994042,1696.164557,547.6683144,4425.95842,1770.624838,1587.725151,1172.075421,4522.243378,11523.73456,10689.87757,22211.64995
85,Adjacent to a district ruled unconstitutional,Turpin,"Turpin, Cheryl",B.,Cheryl,,D,Caucasian,17404.19875,17089.65585,34488.85189,4389.768586,2468.437767,6858.221454,3877.158481,3031.430169,1355.01629,704.8573441,681.5801974,9647.028756,10668.9841,12486.71437,23161.69588,3063.284744,1517.202213,4578.496233,1552.405581,1478.667801,1427.847318,4464.927905,11578.60697,11770.87256,23345.49741,2181.350604,1697.280534,524.1780812,4408.778789,1789.101291,1653.569935,946.3989666,4392.108623,11232.95191,12083.68268,23312.65543
